,Epochs,bat_per_epo,max_bat_per_epo,d_loss,g_loss
0,10,234,234,0.6886159181594849,0.7648938298225403
1,20,234,234,0.6961221694946289,0.7282112240791321
2,30,234,234,0.6907035112380981,0.7118513584136963
3,40,234,234,0.6831976771354675,0.7407015562057495
4,50,234,234,0.7001901865005493,0.6980242729187012
5,60,234,234,0.6900090575218201,0.7098960280418396
6,70,234,234,0.6855310797691345,0.692537248134613
7,80,234,234,0.6929796934127808,0.7280030846595764
8,90,234,234,0.6932480335235596,0.7273504734039307
9,100,234,234,0.6905369758605957,0.6960686445236206
