,Epochs,bat_per_epo,max_bat_per_epo,d_loss,g_loss
0,10,234,234,0.6790814399719238,0.7941518425941467
1,20,234,234,0.6874197721481323,0.7008728384971619
2,30,234,234,0.6936814188957214,0.6832364201545715
3,40,234,234,0.6918334364891052,0.7110493183135986
4,50,234,234,0.6921793818473816,0.705166757106781
5,60,234,234,0.6900202631950378,0.6844757795333862
6,70,234,234,0.6887382864952087,0.6867675185203552
7,80,234,234,0.693983793258667,0.6937972903251648
8,90,234,234,0.6876320838928223,0.6984683275222778
9,100,234,234,0.6919698715209961,0.701166570186615
